Source=C#
NET	BinCount
-0.020291	91
-0.019291	77
-0.018291	78
-0.017291	91
-0.016291	94
-0.015291	93
-0.014291	149
-0.013291	110
-0.012291	130
-0.011291	131
-0.010291	167
-0.0092915	203
-0.0082915	258
-0.0072915	314
-0.0062915	429
-0.0052915	535
-0.0042915	743
-0.0032915	1058
-0.0022915	1300
-0.0012915	1667
-0.0002915	1874
0.0007085	1852
0.0017085	1679
0.0027085	1376
0.0037085	1084
0.0047085	818
0.0057085	575
0.0067085	465
0.0077085	335
0.0087085	243
0.0097085	196
0.010709	164
0.011709	167
0.012709	132
0.013709	117
0.014709	110
0.015709	100
0.016709	103
0.017709	90
0.018709	121
