Source=C#
Scan	Interpolated_NET	Aligned_NET
232	0.079894	0.079894
233	0.079913	0.079913
234	0.079933	0.079933
235	0.079952	0.079952
236	0.079971	0.079971
237	0.07999	0.07999
238	0.080009	0.080009
239	0.080028	0.080028
240	0.080047	0.080047
241	0.080066	0.080066
242	0.080086	0.080086
243	0.080105	0.080105
244	0.080124	0.080124
245	0.080143	0.080143
246	0.080162	0.080162
247	0.080181	0.080181
248	0.0802	0.0802
249	0.080219	0.080219
250	0.080239	0.080239
251	0.080258	0.080258
252	0.080277	0.080277
253	0.080296	0.080296
254	0.080315	0.080315
255	0.080334	0.080334
256	0.080353	0.080353
257	0.080372	0.080372
258	0.080392	0.080392
259	0.080411	0.080411
260	0.08043	0.08043
261	0.080449	0.080449
262	0.080468	0.080468
263	0.080487	0.080487
264	0.080506	0.080506
265	0.080526	0.080526
266	0.080545	0.080545
267	0.080564	0.080564
268	0.080583	0.080583
269	0.080602	0.080602
270	0.080621	0.080621
271	0.08064	0.08064
272	0.080659	0.080659
273	0.080679	0.080679
274	0.080698	0.080698
275	0.080717	0.080717
276	0.080736	0.080736
277	0.080755	0.080755
278	0.080774	0.080774
279	0.080793	0.080793
280	0.080812	0.080812
281	0.080832	0.080832
282	0.080851	0.080851
283	0.08087	0.08087
284	0.080889	0.080889
285	0.080908	0.080908
286	0.080927	0.080927
287	0.080946	0.080946
288	0.080965	0.080965
289	0.080985	0.080985
290	0.081004	0.081004
291	0.081023	0.081023
292	0.081042	0.081042
293	0.081061	0.081061
294	0.08108	0.08108
295	0.081099	0.081099
296	0.081119	0.081119
297	0.081138	0.081138
298	0.081157	0.081157
299	0.081176	0.081176
300	0.081195	0.081195
301	0.081214	0.081214
302	0.081233	0.081233
303	0.081252	0.081252
304	0.081272	0.081272
305	0.081291	0.081291
306	0.08131	0.08131
307	0.081329	0.081329
308	0.081348	0.081348
309	0.081367	0.081367
310	0.081386	0.081386
311	0.081405	0.081405
312	0.081425	0.081425
313	0.081444	0.081444
314	0.081463	0.081463
315	0.081482	0.081482
316	0.081501	0.081501
317	0.08152	0.08152
318	0.081539	0.081539
319	0.081558	0.081558
320	0.081578	0.081578
321	0.081597	0.081597
322	0.081616	0.081616
323	0.081635	0.081635
324	0.081654	0.081654
325	0.081673	0.081673
326	0.081692	0.081692
327	0.081711	0.081711
328	0.081731	0.081731
329	0.08175	0.08175
330	0.081769	0.081769
331	0.081788	0.081788
332	0.081807	0.081807
333	0.081826	0.081826
334	0.081845	0.081845
335	0.081865	0.081865
336	0.081884	0.081884
337	0.081903	0.081903
338	0.081922	0.081922
339	0.081941	0.081941
340	0.08196	0.08196
341	0.081979	0.081979
342	0.081998	0.081998
343	0.082018	0.082018
344	0.082037	0.082037
345	0.082056	0.082056
346	0.082075	0.082075
347	0.082094	0.082094
348	0.082113	0.082113
349	0.082132	0.082132
350	0.082151	0.082151
351	0.082171	0.082171
352	0.08219	0.08219
353	0.082209	0.082209
354	0.082228	0.082228
355	0.082247	0.082247
356	0.082266	0.082266
357	0.082285	0.082285
358	0.082304	0.082304
359	0.082324	0.082324
360	0.082343	0.082343
361	0.082362	0.082362
362	0.082381	0.082381
363	0.0824	0.0824
364	0.082419	0.082419
365	0.082438	0.082438
366	0.082457	0.082457
367	0.082477	0.082477
368	0.082496	0.082496
369	0.082515	0.082515
370	0.082534	0.082534
371	0.082553	0.082553
372	0.082572	0.082572
373	0.082591	0.082591
374	0.082611	0.082611
375	0.08263	0.08263
376	0.082649	0.082649
377	0.082668	0.082668
378	0.082687	0.082687
379	0.082706	0.082706
380	0.082725	0.082725
381	0.082744	0.082744
382	0.082764	0.082764
383	0.082783	0.082783
384	0.082802	0.082802
385	0.082821	0.082821
386	0.08284	0.08284
387	0.082859	0.082859
388	0.082878	0.082878
389	0.082897	0.082897
390	0.082917	0.082917
391	0.082936	0.082936
392	0.082955	0.082955
393	0.082974	0.082974
394	0.082993	0.082993
395	0.083012	0.083012
396	0.083031	0.083031
397	0.08305	0.08305
398	0.08307	0.08307
399	0.083089	0.083089
400	0.083108	0.083108
401	0.083127	0.083127
402	0.083146	0.083146
403	0.083165	0.083165
404	0.083184	0.083184
405	0.083203	0.083203
406	0.083223	0.083223
407	0.083242	0.083242
408	0.083261	0.083261
409	0.08328	0.08328
410	0.083299	0.083299
411	0.083318	0.083318
412	0.083337	0.083337
413	0.083357	0.083357
414	0.083376	0.083376
415	0.083395	0.083395
416	0.083414	0.083414
417	0.083433	0.083433
418	0.083452	0.083452
419	0.083471	0.083471
420	0.08349	0.08349
421	0.08351	0.08351
422	0.083529	0.083529
423	0.083548	0.083548
424	0.083567	0.083567
425	0.083586	0.083586
426	0.083605	0.083605
427	0.083624	0.083624
428	0.083643	0.083643
429	0.083663	0.083663
430	0.083682	0.083682
431	0.083701	0.083701
432	0.08372	0.08372
433	0.083739	0.083739
434	0.083758	0.083758
435	0.083777	0.083777
436	0.083796	0.083796
437	0.083816	0.083816
438	0.083835	0.083835
439	0.083854	0.083854
440	0.083873	0.083873
441	0.083892	0.083892
442	0.083911	0.083911
443	0.08393	0.08393
444	0.083949	0.083949
445	0.083969	0.083969
446	0.083988	0.083988
447	0.084007	0.084007
448	0.084026	0.084026
449	0.084045	0.084045
450	0.084064	0.084064
451	0.084083	0.084083
452	0.084103	0.084103
453	0.084122	0.084122
454	0.084141	0.084141
455	0.08416	0.08416
456	0.084179	0.084179
457	0.084198	0.084198
458	0.084217	0.084217
459	0.084236	0.084236
460	0.084256	0.084256
461	0.084275	0.084275
462	0.084294	0.084294
463	0.084313	0.084313
464	0.084332	0.084332
465	0.084351	0.084351
466	0.08437	0.08437
467	0.084389	0.084389
468	0.084409	0.084409
469	0.084428	0.084428
470	0.084447	0.084447
471	0.084466	0.084466
472	0.084485	0.084485
473	0.084504	0.084504
474	0.084523	0.084523
475	0.084542	0.084542
476	0.084562	0.084562
477	0.084581	0.084581
478	0.0846	0.0846
479	0.084619	0.084619
480	0.084638	0.084638
481	0.084657	0.084657
482	0.084676	0.084676
483	0.084696	0.084696
484	0.084715	0.084715
485	0.084734	0.084734
486	0.084753	0.084753
487	0.084772	0.084772
488	0.084791	0.084791
489	0.08481	0.08481
490	0.084829	0.084829
491	0.084849	0.084849
492	0.084868	0.084868
493	0.084887	0.084887
494	0.084906	0.084906
495	0.084925	0.084925
496	0.084944	0.084944
497	0.084963	0.084963
498	0.084982	0.084982
499	0.085002	0.085002
500	0.085021	0.085021
501	0.08504	0.08504
502	0.085059	0.085059
503	0.085078	0.085078
504	0.085097	0.085097
505	0.085116	0.085116
506	0.085135	0.085135
507	0.085155	0.085155
508	0.085174	0.085174
509	0.085193	0.085193
510	0.085212	0.085212
511	0.085231	0.085231
512	0.08525	0.08525
513	0.085269	0.085269
514	0.085288	0.085288
515	0.085308	0.085308
516	0.085327	0.085327
517	0.085346	0.085346
518	0.085365	0.085365
519	0.085384	0.085384
520	0.085403	0.085403
521	0.085422	0.085422
522	0.085442	0.085442
523	0.085461	0.085461
524	0.08548	0.08548
525	0.085499	0.085499
526	0.085518	0.085518
527	0.085537	0.085537
528	0.085556	0.085556
529	0.085575	0.085575
530	0.085595	0.085595
531	0.085614	0.085614
532	0.085633	0.085633
533	0.085652	0.085652
534	0.085671	0.085671
535	0.08569	0.08569
536	0.085709	0.085709
537	0.085728	0.085728
538	0.085748	0.085748
539	0.085767	0.085767
540	0.085786	0.085786
541	0.085805	0.085805
542	0.085824	0.085824
543	0.085843	0.085843
544	0.085862	0.085862
545	0.085881	0.085881
546	0.085901	0.085901
547	0.08592	0.08592
548	0.085939	0.085939
549	0.085958	0.085958
550	0.085977	0.085977
551	0.085996	0.085996
552	0.086015	0.086015
553	0.086034	0.086034
554	0.086054	0.086054
555	0.086073	0.086073
556	0.086092	0.086092
557	0.086111	0.086111
558	0.086198	0.086198
559	0.086294	0.086294
560	0.08639	0.08639
561	0.086485	0.086485
562	0.086581	0.086581
563	0.086676	0.086676
564	0.086772	0.086772
565	0.086868	0.086868
566	0.086963	0.086963
567	0.087059	0.087059
568	0.087155	0.087155
569	0.08725	0.08725
570	0.087346	0.087346
