ClassMZ	ClassMass	ScanClassRep	ClassAbundance	PairIndex	PMTTagID	UMCID
300.18822649	299.18095	3455	2062887.5	-1	-1	0
300.20365649	299.19638	18349	5188.79992675781	-1	-1	1
300.21678149	299.209505	18382	9330.30004882813	-1	-1	2
301.14072649	300.13345	18538	202201.399902344	-1	-1	3
301.14050649	300.13323	232	187545.098632813	-1	-1	4
301.14212149	300.134845	18507	7817.40003967285	-1	-1	5
301.15410649	300.14683	8064	3898004	-1	-1	6
301.15424649	300.14697	9362	24136592	-1	-1	7
301.17942649	300.17215	18382	7283.19982910156	-1	-1	8
301.18645149	300.179175	3224	1950864	-1	-1	9
301.20072649	300.19345	18371	35640.5144195557	-1	-1	10
301.21607649	300.2088	18393	5161.83004760742	-1	-1	11
301.23584649	300.22857	18426	2818.45004272461	-1	-1	12
302.13673649	301.12946	18538	1321.57000732422	-1	-1	13
302.20682649	301.19955	7514	11016077	-1	-1	14
302.20690149	301.199625	6480	5011853	-1	-1	15
302.20695649	301.19968	6898	15775441	-1	-1	16
302.23231649	301.22504	18382	34038.4999237061	-1	-1	17
303.15995649	302.15268	18382	16231.1997070313	-1	-1	18
303.19522149	302.187945	18338	42923.6003417969	-1	-1	19
303.20193649	302.19466	2927	604153	-1	-1	20
303.23161649	302.22434	18371	22829.3601989746	-1	-1	21
303.25292649	302.24565	18415	1607.96002197266	-1	-1	22
303.93593649	302.92866	276	29070.0002441406	-1	-1	23
304.24827649	303.241	18404	32622.0002441406	-1	-1	24
304.29975649	303.29248	18404	27358.69921875	-1	-1	25
304.87682649	303.86955	56	128758.599243164	-1	-1	26
305.16435149	304.157075	2608	662580	-1	-1	27
305.21111149	304.203835	18371	47527.5494384766	-1	-1	28
305.24726649	304.23999	18382	14054.6798706055	-1	-1	29
305.86073649	304.85346	287	399196.750488281	-1	-1	30
307.09623649	306.08896	18294	1360316.44940186	-1	-1	31
307.18933649	306.18206	18382	47338.8500061035	-1	-1	32
307.22677649	306.2195	18327	128555.149383545	-1	-1	33
307.85056649	306.84329	287	8614.95989990234	-1	-1	34
308.16656649	307.15929	804	94914	-1	-1	35
308.22997649	307.2227	18382	6355.32992553711	-1	-1	36
309.16936649	308.16209	18360	11095.8000488281	-1	-1	37
309.18384649	308.17657	2003	654424	-1	-1	38
309.20424649	308.19697	18162	352011.999023438	-1	-1	39
309.20304649	308.19577	320	454963.801269531	-1	-1	40
309.24262149	308.235345	18474	50608.3398742676	-1	-1	41
310.12588649	309.11861	18107	60394	-1	-1	42
310.20167149	309.194395	18492	19371.5700683594	-1	-1	43
311.16462649	310.15735	18484	6183.73004150391	-1	-1	44
311.19460649	310.18733	2311	908048	-1	-1	45
311.22157149	310.214295	18360	183920.848999023	-1	-1	46
311.25810149	310.250825	18415	6680.44995117188	-1	-1	47
312.17733649	311.17006	903	227480	-1	-1	48
312.22547649	311.2182	18463	2080.41999816895	-1	-1	49
312.25336649	311.24609	18415	46634.9502868652	-1	-1	50
312.98631149	311.979035	122	15626.7299804688	-1	-1	51
313.14297649	312.1357	232	192756.101074219	-1	-1	52
313.15422149	312.146945	8427	168122928	-1	-1	53
313.20069149	312.193415	18316	60836.6010742188	-1	-1	54
313.23747649	312.2302	18463	40499.3798522949	-1	-1	55
313.27387649	312.2666	18459	21945.2048339844	-1	-1	56
313.98258649	312.97531	122	61039.2506103516	-1	-1	57
314.24043649	313.23316	18415	12281.1999359131	-1	-1	58
314.26882149	313.261545	18360	34659.8248519897	-1	-1	59
314.68630649	313.67903	1970	832025	-1	-1	60
314.70429649	313.69702	4247	1850708	-1	-1	61
314.98253649	313.97526	496	7488.2900390625	-1	-1	62
315.15714649	314.14987	18507	24374.8702697754	-1	-1	63
315.16562649	314.15835	881	228660	-1	-1	64
315.19496649	314.18769	18382	6399.18501281738	-1	-1	65
315.21632649	314.20905	18316	39357.4398193359	-1	-1	66
315.25275649	314.24548	18371	19299.9798583984	-1	-1	67
315.68157649	314.6743	1959	1972291	-1	-1	68
316.09965649	315.09238	18360	684322	-1	-1	69
316.10010649	315.09283	17920	51887	-1	-1	70
316.22247149	315.215195	7382	12116422	-1	-1	71
316.22242149	315.215145	6788	10806695	-1	-1	72
316.24790149	315.240625	18474	1119.10997009277	-1	-1	73
317.11133649	316.10406	18538	13193.7001953125	-1	-1	74
317.18477649	316.1775	4775	1129029	-1	-1	75
317.19551649	316.18824	18327	45132.8905029297	-1	-1	76
317.21050649	316.20323	18382	25724.0498657227	-1	-1	77
317.24612649	316.23885	18463	1205.26000976563	-1	-1	78
317.26869649	316.26142	18482	2365.06997680664	-1	-1	79
317.94166649	316.93439	485	141292.745330811	-1	-1	80
318.17277649	317.1655	3378	572498	-1	-1	81
318.18057649	317.1733	8064	16142955	-1	-1	82
318.18059649	317.17332	8383	43272305	-1	-1	83
318.18061649	317.17334	7657	25951212	-1	-1	84
318.18070649	317.17343	9373	75372798	-1	-1	85
318.19080649	317.18353	18316	70507.1997070313	-1	-1	86
318.22729649	317.22002	18349	11832.5998535156	-1	-1	87
318.26336649	317.25609	18459	1399.51498413086	-1	-1	88
318.30029649	317.29302	18338	126588	-1	-1	89
318.89528649	317.88801	298	19062.9001464844	-1	-1	90
318.93802649	317.93075	485	556574.699462891	-1	-1	91
319.09812649	318.09085	18349	5857.20007324219	-1	-1	92
319.15413649	318.14686	18349	43018	-1	-1	93
319.18638649	318.17911	18393	21917.3002929688	-1	-1	94
319.22555649	318.21828	18382	71656.1448059082	-1	-1	95
319.26300649	318.25573	18437	3174.64996337891	-1	-1	96
320.09484649	319.08757	18107	533037	-1	-1	97
320.20646649	319.19919	18371	17430.9904174805	-1	-1	98
320.22497149	319.217695	18522	926.939987182617	-1	-1	99
321.20564649	320.19837	18360	101720.449768066	-1	-1	100
321.24198649	320.23471	18371	40520.7600860596	-1	-1	101
321.71205649	320.70478	4357	1431671	-1	-1	102
322.18658649	321.17931	3477	5951718	-1	-1	103
322.18666649	321.17939	3246	1846595	-1	-1	104
322.23347649	321.2262	221	9964.85980224609	-1	-1	105
322.23361649	321.22634	441	6720.38000488281	-1	-1	106
322.23800649	321.23073	18497	6286.82000732422	-1	-1	107
322.48519649	321.47792	1354	495461	-1	-1	108
323.01844649	322.01117	18294	7010331.5	-1	-1	109
323.22173149	322.214455	18497	4254.19995117188	-1	-1	110
323.22300149	322.215725	650	1193505	-1	-1	111
323.25816649	322.25089	18474	9646.01983642578	-1	-1	112
324.02122649	323.01395	18463	2465.16996765137	-1	-1	113
324.65801649	323.65074	2498	946667	-1	-1	114
325.18591649	324.17864	3752	2160659	-1	-1	115
325.20065649	324.19338	18327	57327.3305664063	-1	-1	116
325.21971649	324.21244	18371	9349.09024047852	-1	-1	117
325.23717649	324.2299	18327	90606.7945785522	-1	-1	118
326.18153649	325.17426	3752	3833769	-1	-1	119
326.23803649	325.23076	18463	1064.58000183105	-1	-1	120
327.00799649	326.00072	18382	33064.400390625	-1	-1	121
327.00793649	326.00066	18360	466415	-1	-1	122
327.07854149	326.071265	18500	7115.99987792969	-1	-1	123
327.17791149	326.170635	3191	1958525	-1	-1	124
327.21628649	326.20901	18371	72390.9059143066	-1	-1	125
327.25280649	326.24553	18349	38608.3598480225	-1	-1	126
327.49248649	326.48521	1651	280393	-1	-1	127
328.21161649	327.20434	18349	398145.700195313	-1	-1	128
328.24845149	327.241175	18382	18058.5049133301	-1	-1	129
328.70167649	327.6944	3136	872317	-1	-1	130
329.00496649	327.99769	18360	441022	-1	-1	131
329.14886649	328.14159	5765	63819876	-1	-1	132
329.17280649	328.16553	18502	6886.19982910156	-1	-1	133
329.19211149	328.184835	2201	7050879	-1	-1	134
329.19269649	328.18542	1145	5386343	-1	-1	135
329.19565649	328.18838	18382	14041.9799804688	-1	-1	136
329.23196649	328.22469	18382	59601.9545135498	-1	-1	137
329.25080649	328.24353	18492	141153.580505371	-1	-1	138
329.70959649	328.70232	2597	693073.5	-1	-1	139
330.19043649	329.18316	18382	24891.6497802734	-1	-1	140
330.20724649	329.19997	2960	741276	-1	-1	141
330.22728649	329.22001	18305	18007.6000976563	-1	-1	142
330.25143649	329.24416	18514	2323.56002807617	-1	-1	143
330.26377649	329.2565	17854	41529.3999023438	-1	-1	144
331.10744649	330.10017	18316	63274.400390625	-1	-1	145
331.20811649	330.20084	4368	3092050	-1	-1	146
331.20817649	330.2009	3367	14422032	-1	-1	147
331.21096649	330.20369	18371	10943.5	-1	-1	148
331.22617649	330.2189	18382	7127.57987976074	-1	-1	149
331.23344649	330.22617	4995	4455158.5	-1	-1	150
331.24767649	330.2404	18371	14845.9650878906	-1	-1	151
331.25882649	330.25155	17942	124992.649414063	-1	-1	152
331.28354649	330.27627	18459	3178.67002868652	-1	-1	153
331.67996149	330.672685	3862	1887528	-1	-1	154
332.21731649	331.21004	7514	4282438	-1	-1	155
332.21744649	331.21017	6975	12329312	-1	-1	156
332.27939649	331.27212	18415	10175.4601135254	-1	-1	157
332.33133649	331.32406	18415	14203.0300292969	-1	-1	158
333.16913649	332.16186	18426	9361.90014648438	-1	-1	159
333.18377649	332.1765	2278	656357	-1	-1	160
