Source=C#
Mass	BinCount
-9.99	30
-9.79	23
-9.59	21
-9.39	29
-9.19	27
-8.99	34
-8.79	31
-8.59	32
-8.39	31
-8.19	35
-7.99	37
-7.79	31
-7.59	36
-7.39	24
-7.19	41
-6.99	46
-6.79	45
-6.59	52
-6.39	51
-6.19	58
-5.99	46
-5.79	47
-5.59	38
-5.39	56
-5.19	47
-4.99	39
-4.79	53
-4.59	56
-4.39	52
-4.19	59
-3.99	66
-3.79	64
-3.59	78
-3.39	85
-3.19	87
-2.99	74
-2.79	108
-2.59	108
-2.39	119
-2.19	108
-1.99	154
-1.79	201
-1.59	289
-1.39	420
-1.19	618
-0.9898	874
-0.7898	1195
-0.5898	1513
-0.3898	1856
-0.1898	1885
0.01023	2089
0.2102	1887
0.4102	1702
0.6102	1369
0.8102	935
1.01	608
1.21	459
1.41	313
1.61	243
1.81	196
2.01	139
2.21	131
2.41	96
2.61	95
2.81	86
3.01	93
3.21	83
3.41	72
3.61	76
3.81	77
4.01	63
4.21	67
4.41	62
4.61	47
4.81	54
5.01	41
5.21	50
5.41	51
5.61	45
5.81	39
6.01	39
6.21	44
6.41	49
6.61	27
6.81	40
7.01	28
7.21	32
7.41	35
7.61	39
7.81	42
8.01	21
8.21	36
8.41	27
8.61	35
8.81	30
9.01	35
9.21	21
9.41	25
9.61	34
