Source=C#
UMCIndex	UMCNET	AlignedMass
0	0.19473	299.18
1	0.74147	299.2
2	0.74265	299.21
3	0.74564	300.13
4	0.076348	300.13
5	0.74504	300.14
6	0.30417	300.15
7	0.329	300.15
8	0.74265	300.17
9	0.18814	300.18
10	0.74244	300.19
11	0.74286	300.21
12	0.74349	300.23
13	0.74564	301.13
14	0.2901	301.2
15	0.27032	301.2
16	0.27832	301.2
17	0.74265	301.23
18	0.74265	302.15
19	0.73957	302.19
20	0.18109	302.2
21	0.74244	302.22
22	0.74328	302.25
23	0.07719	302.93
24	0.74307	303.24
25	0.74307	303.29
26	0.072982	303.87
27	0.17498	304.16
28	0.74244	304.2
29	0.74265	304.24
30	0.077401	304.85
31	0.732	306.09
32	0.74265	306.18
33	0.73768	306.22
34	0.077401	306.84
35	0.10855	307.16
36	0.74265	307.22
37	0.74223	308.16
38	0.15632	308.18
39	0.70573	308.2
40	0.078032	308.2
41	0.74441	308.24
42	0.69626	309.12
43	0.74476	309.19
44	0.7446	310.16
45	0.1693	310.19
46	0.74223	310.21
47	0.74328	310.25
48	0.11612	311.17
49	0.7442	311.22
50	0.74328	311.25
51	0.074244	311.98
52	0.076348	312.14
53	0.31111	312.15
54	0.73578	312.19
55	0.7442	312.23
56	0.74413	312.27
57	0.074244	312.98
58	0.74328	313.23
59	0.74223	313.26
60	0.15569	313.68
61	0.22018	313.7
62	0.081398	313.98
63	0.74504	314.15
64	0.11444	314.16
65	0.74265	314.19
66	0.73578	314.21
67	0.74244	314.25
68	0.15548	314.68
69	0.74223	315.09
70	0.66052	315.09
71	0.28758	315.22
72	0.27622	315.22
73	0.74441	315.24
74	0.74564	316.1
75	0.23062	316.18
76	0.73768	316.19
77	0.74265	316.2
78	0.7442	316.24
79	0.74457	316.26
80	0.081188	316.93
81	0.19326	317.17
82	0.30417	317.17
83	0.31027	317.17
84	0.29391	317.17
85	0.32921	317.17
86	0.73578	317.18
87	0.74147	317.22
88	0.74413	317.26
89	0.73957	317.29
90	0.077611	317.89
91	0.081188	317.93
92	0.74147	318.09
93	0.74147	318.15
94	0.74286	318.18
95	0.74265	318.22
96	0.7437	318.26
97	0.69626	319.09
98	0.74244	319.2
99	0.74533	319.22
100	0.74223	320.2
101	0.74244	320.24
102	0.22262	320.71
103	0.19515	321.18
104	0.18898	321.18
105	0.076138	321.23
106	0.080346	321.23
107	0.74485	321.23
108	0.13681	321.48
109	0.732	322.01
110	0.74485	322.21
111	0.093228	322.22
112	0.74441	322.25
113	0.7442	323.01
114	0.17288	323.65
115	0.20751	324.18
116	0.73768	324.19
117	0.74244	324.21
118	0.73768	324.23
119	0.20751	325.18
120	0.7442	325.23
121	0.74265	326
122	0.74223	326
123	0.74491	326.07
124	0.18688	326.17
125	0.74244	326.21
126	0.74147	326.25
127	0.14569	326.49
128	0.74147	327.2
129	0.74265	327.24
130	0.18508	327.7
131	0.74223	328
132	0.2531	328.14
133	0.74495	328.17
134	0.16626	328.19
135	0.12988	328.19
136	0.74265	328.19
137	0.74265	328.23
138	0.74476	328.24
139	0.17477	328.7
140	0.74265	329.18
141	0.18172	329.2
142	0.73389	329.22
143	0.74518	329.24
144	0.64916	329.26
145	0.73578	330.1
146	0.22283	330.2
147	0.19305	330.2
148	0.74244	330.2
149	0.74265	330.22
150	0.23816	330.23
151	0.74244	330.24
152	0.66431	330.25
153	0.74413	330.28
154	0.20961	330.67
155	0.2901	331.21
156	0.27979	331.21
157	0.74328	331.27
158	0.74328	331.32
159	0.74349	332.16
160	0.16867	332.18
161	0.14275	332.18
162	0.28127	332.19
163	0.73768	332.2
164	0.74328	332.24
165	0.66052	333.1
166	0.55385	333.18
167	0.15506	333.18
168	0.74328	333.19
169	0.73389	333.22
170	0.74518	334.12
171	0.36116	334.13
172	0.74265	334.18
173	0.74223	334.21
174	0.74413	334.25
175	0.74523	335.12
176	0.27643	335.13
177	0.29116	335.13
178	0.74147	335.17
179	0.29391	335.18
180	0.30522	335.18
181	0.32163	335.18
182	0.69626	336.11
183	0.74244	336.19
184	0.74286	336.23
185	0.74485	336.27
186	0.19347	336.69
187	0.73957	337.07
188	0.17036	337.18
189	0.19599	337.18
