Source=C#
Scan	Interpolated_NET	Aligned_NET
1	0.07193	0.07193
2	0.071949	0.071949
3	0.071968	0.071968
4	0.071987	0.071987
5	0.072006	0.072006
6	0.072025	0.072025
7	0.072045	0.072045
8	0.072064	0.072064
9	0.072083	0.072083
10	0.072102	0.072102
11	0.072121	0.072121
12	0.07214	0.07214
13	0.072159	0.072159
14	0.072178	0.072178
15	0.072198	0.072198
16	0.072217	0.072217
17	0.072236	0.072236
18	0.072255	0.072255
19	0.072274	0.072274
20	0.072293	0.072293
21	0.072312	0.072312
22	0.072332	0.072332
23	0.072351	0.072351
24	0.07237	0.07237
25	0.072389	0.072389
26	0.072408	0.072408
27	0.072427	0.072427
28	0.072446	0.072446
29	0.072465	0.072465
30	0.072485	0.072485
31	0.072504	0.072504
32	0.072523	0.072523
33	0.072542	0.072542
34	0.072561	0.072561
35	0.07258	0.07258
36	0.072599	0.072599
37	0.072618	0.072618
38	0.072638	0.072638
39	0.072657	0.072657
40	0.072676	0.072676
41	0.072695	0.072695
42	0.072714	0.072714
43	0.072733	0.072733
44	0.072752	0.072752
45	0.072771	0.072771
46	0.072791	0.072791
47	0.07281	0.07281
48	0.072829	0.072829
49	0.072848	0.072848
50	0.072867	0.072867
51	0.072886	0.072886
52	0.072905	0.072905
53	0.072924	0.072924
54	0.072944	0.072944
55	0.072963	0.072963
56	0.072982	0.072982
57	0.073001	0.073001
58	0.07302	0.07302
59	0.073039	0.073039
60	0.073058	0.073058
61	0.073078	0.073078
62	0.073097	0.073097
63	0.073116	0.073116
64	0.073135	0.073135
65	0.073154	0.073154
66	0.073173	0.073173
67	0.073192	0.073192
68	0.073211	0.073211
69	0.073231	0.073231
70	0.07325	0.07325
71	0.073269	0.073269
72	0.073288	0.073288
73	0.073307	0.073307
74	0.073326	0.073326
75	0.073345	0.073345
76	0.073364	0.073364
77	0.073384	0.073384
78	0.073403	0.073403
79	0.073422	0.073422
80	0.073441	0.073441
81	0.07346	0.07346
82	0.073479	0.073479
83	0.073498	0.073498
84	0.073517	0.073517
85	0.073537	0.073537
86	0.073556	0.073556
87	0.073575	0.073575
88	0.073594	0.073594
89	0.073613	0.073613
90	0.073632	0.073632
91	0.073651	0.073651
92	0.07367	0.07367
93	0.07369	0.07369
94	0.073709	0.073709
95	0.073728	0.073728
96	0.073747	0.073747
97	0.073766	0.073766
98	0.073785	0.073785
99	0.073804	0.073804
100	0.073824	0.073824
101	0.073843	0.073843
102	0.073862	0.073862
103	0.073881	0.073881
104	0.0739	0.0739
105	0.073919	0.073919
106	0.073938	0.073938
107	0.073957	0.073957
108	0.073977	0.073977
109	0.073996	0.073996
110	0.074015	0.074015
111	0.074034	0.074034
112	0.074053	0.074053
113	0.074072	0.074072
114	0.074091	0.074091
115	0.07411	0.07411
116	0.07413	0.07413
117	0.074149	0.074149
118	0.074168	0.074168
119	0.074187	0.074187
120	0.074206	0.074206
121	0.074225	0.074225
122	0.074244	0.074244
123	0.074263	0.074263
124	0.074283	0.074283
125	0.074302	0.074302
126	0.074321	0.074321
127	0.07434	0.07434
128	0.074359	0.074359
129	0.074378	0.074378
130	0.074397	0.074397
131	0.074416	0.074416
132	0.074436	0.074436
133	0.074455	0.074455
134	0.074474	0.074474
135	0.074493	0.074493
136	0.074512	0.074512
137	0.074531	0.074531
138	0.07455	0.07455
139	0.07457	0.07457
140	0.074589	0.074589
141	0.074608	0.074608
142	0.074627	0.074627
143	0.074646	0.074646
144	0.074665	0.074665
145	0.074684	0.074684
146	0.074703	0.074703
147	0.074723	0.074723
148	0.074742	0.074742
149	0.074761	0.074761
150	0.07478	0.07478
151	0.074799	0.074799
152	0.074818	0.074818
153	0.074837	0.074837
154	0.074856	0.074856
155	0.074876	0.074876
156	0.074895	0.074895
157	0.074914	0.074914
158	0.074933	0.074933
159	0.074952	0.074952
160	0.074971	0.074971
161	0.07499	0.07499
162	0.075009	0.075009
163	0.075029	0.075029
164	0.075048	0.075048
165	0.075067	0.075067
166	0.075086	0.075086
167	0.075105	0.075105
168	0.075124	0.075124
169	0.075143	0.075143
170	0.075163	0.075163
171	0.075182	0.075182
172	0.075201	0.075201
173	0.07522	0.07522
174	0.075239	0.075239
175	0.075258	0.075258
176	0.075277	0.075277
177	0.075296	0.075296
178	0.075316	0.075316
179	0.075335	0.075335
180	0.075354	0.075354
181	0.075373	0.075373
182	0.075392	0.075392
183	0.075411	0.075411
184	0.07543	0.07543
185	0.075449	0.075449
186	0.075469	0.075469
187	0.075488	0.075488
188	0.075507	0.075507
189	0.075526	0.075526
190	0.075545	0.075545
191	0.075564	0.075564
192	0.075583	0.075583
193	0.075602	0.075602
194	0.075622	0.075622
195	0.075641	0.075641
196	0.07566	0.07566
197	0.075679	0.075679
