Source=C#
UMCIndex	UMCNET	AlignedMass
288	0.21684	370.86
289	0.1709	371.19
290	0.20924	371.19
291	0.18525	371.2
292	0.11299	371.2
293	0.30489	371.21
294	0.19419	371.21
295	0.80977	371.24
296	0.18547	372.2
297	0.16398	372.21
298	0.18726	372.22
299	0.21396	372.27
300	0.1248	372.68
301	0.15787	372.69
302	0.21693	372.7
303	0.21829	372.85
304	0.16425	373.19
305	0.15346	373.2
306	0.22308	373.21
307	0.19002	373.22
308	0.18542	373.23
309	0.28595	373.69
310	0.16671	373.7
311	0.24414	373.71
312	0.24504	374.12
313	0.26944	374.21
314	0.16256	374.21
315	0.22067	374.23
316	0.20749	374.49
317	0.25434	374.69
318	0.34661	374.7
319	0.18993	374.86
320	0.19192	375.2
321	0.16256	375.2
322	0.22011	375.23
323	0.80745	375.25
324	0.1561	375.68
325	0.22588	376.14
326	0.18394	376.18
327	0.16287	376.19
328	0.16636	376.19
329	0.18703	376.72
330	0.13229	376.86
331	0.19156	377.2
332	0.21879	377.21
333	0.35347	377.23
334	0.2755	377.54
335	0.16715	377.89
336	0.17316	378.2
337	0.21534	378.2
338	0.14704	378.21
339	0.25939	378.21
340	0.16666	378.7
341	0.14537	378.7
342	0.16279	379.2
343	0.14326	379.19
344	0.21202	379.22
345	0.20589	379.7
346	0.20991	379.72
347	0.26912	379.83
348	0.16056	380.19
349	0.16803	380.2
350	0.27014	380.7
351	0.19567	380.7
352	0.22992	380.71
353	0.15121	380.86
354	0.14213	380.87
355	0.6091	381.15
356	0.17279	381.19
357	0.21875	381.2
358	0.17097	381.2
359	0.23961	381.22
360	0.27793	381.23
361	0.15113	381.69
362	0.23423	381.84
363	0.22363	382.22
364	0.12949	383.19
365	0.14656	383.19
366	0.16185	383.19
367	0.18824	383.53
368	0.21425	383.54
369	0.18824	383.54
370	0.1275	383.7
371	0.16328	384.19
372	0.18032	384.19
373	0.17937	384.25
374	0.21059	384.25
375	0.18172	384.72
376	0.18601	385.23
377	0.24838	385.23
378	0.18805	385.52
379	0.23259	385.66
380	0.16125	385.71
381	0.20723	385.72
382	0.15051	385.86
383	0.80303	386.17
384	0.28325	386.18
385	0.8201	386.19
386	0.18747	386.19
387	0.16377	386.19
388	0.16097	386.23
389	0.13473	386.22
390	0.16398	386.22
391	0.18701	386.26
392	0.14035	386.72
393	0.11752	386.85
394	0.21162	387.25
395	0.2506	387.7
396	0.1659	387.71
397	0.23865	387.72
398	0.31607	387.86
399	0.1757	388.19
400	0.18853	388.21
401	0.2274	388.21
402	0.22171	388.21
403	0.30532	388.22
404	0.18701	388.24
405	0.1575	388.69
406	0.22307	388.69
407	0.31624	388.71
408	0.16839	388.85
409	0.13776	388.87
410	0.19067	388.87
411	0.33059	389.21
412	0.26897	389.22
413	0.16769	389.22
414	0.18547	389.22
415	0.22382	389.24
416	0.23301	389.55
417	0.18914	390.53
418	0.20097	391.18
419	0.40175	391.25
420	0.31508	391.25
421	0.16394	391.53
422	0.18417	391.73
423	0.21849	391.73
424	0.18493	391.87
425	0.22851	392.22
426	0.18824	392.22
427	0.15913	392.23
428	0.80745	392.28
429	0.23496	392.51
430	0.21494	392.69
431	0.21544	393.19
432	0.22399	393.21
433	0.15183	393.21
434	0.28809	393.22
435	0.26873	393.22
436	0.21921	393.22
437	0.21886	393.23
438	0.24171	393.23
439	0.27342	393.23
440	0.13207	393.71
441	0.26782	393.73
442	0.22921	394.17
443	0.26581	394.22
444	0.19847	394.23
445	0.18945	394.71
446	0.13906	394.86
447	0.2496	395.22
448	0.1757	395.22
449	0.31362	395.23
450	0.16602	395.7
451	0.15209	395.7
452	0.10703	395.71
453	0.23865	396.14
454	0.13797	396.2
455	0.22829	396.2
456	0.12011	396.21
457	0.13139	396.21
458	0.23996	396.67
459	0.13918	396.73
460	0.33996	397.14
461	0.24057	397.2
462	0.13072	397.2
463	0.20341	397.22
464	0.80722	397.23
465	0.13836	397.23
466	0.24401	397.87
467	0.18809	398.24
468	0.17917	398.74
469	0.21588	399.22
470	0.16565	399.23
471	0.20318	399.24
472	0.19328	399.68
473	0.31345	399.72
474	0.1517	399.73
475	0.27309	399.74
476	0.19456	399.87
477	0.69097	400.15
478	0.21684	400.18
479	0.2862	400.21
480	0.14933	400.22
481	0.23601	400.22
482	0.16922	400.24
483	0.18884	400.28
484	0.26485	400.28
485	0.14424	400.7
486	0.1703	400.72
487	0.15223	400.73
488	0.20873	401.22
489	0.21534	401.22
490	0.29306	401.7
491	0.20854	401.72
492	0.80214	402.17
493	0.21768	402.22
494	0.28397	402.23
495	0.16854	402.69
496	0.19355	402.7
497	0.26679	402.7
498	0.23884	402.72
499	0.1677	403.19
500	0.19036	403.19
501	0.80303	403.2
502	0.20801	403.21
503	0.24057	403.23
504	0.19373	403.69
505	0.17456	403.72
506	0.21435	403.89
507	0.16167	404.2
508	0.22126	404.21
509	0.16109	404.23
510	0.2418	404.75
511	0.31678	404.76
512	0.29058	404.86
513	0.13823	405.19
514	0.14933	405.73
515	0.24187	405.74
516	0.31678	405.76
517	0.32567	406.22
518	0.21554	406.22
519	0.23988	406.26
520	0.21535	406.55
521	0.16157	406.72
522	0.26019	406.74
523	0.16068	406.75
524	0.16581	407.23
525	0.19137	407.23
526	0.23884	407.23
527	0.16402	407.24
528	0.22236	407.72
529	0.24861	407.74
530	0.19192	408.21
531	0.18726	408.71
532	0.31469	408.72
533	0.36818	409.2
534	0.16571	409.2
535	0.26947	409.24
536	0.3074	409.25
537	0.16442	409.72
538	0.26607	410.19
539	0.21541	410.21
540	0.20426	410.22
541	0.13149	410.7
542	0.20644	410.72
543	0.18914	410.72
544	0.13627	410.88
545	0.28871	410.92
546	0.18389	411.53
547	0.30443	412.12
548	0.22324	412.24
549	0.16459	412.71
550	0.27758	413.21
551	0.24455	413.23
552	0.1683	413.26
553	0.17383	413.56
554	0.13797	413.73
555	0.16352	413.74
556	0.19255	413.83
