ClassMZ	ClassMass	ScanClassRep	ClassAbundance	PairIndex	PMTTagID	UMCID
300.19270649	299.18543	8996	13778487.5	-1	-1	0
300.20250649	299.19523	7198	345725401	-1	-1	1
300.69569149	299.688415	9713	12578436	-1	-1	2
301.18786649	300.18059	9422	75191120.5	-1	-1	3
301.68530649	300.67803	5669	11342717	-1	-1	4
302.50921649	301.50194	6658	12965154	-1	-1	5
303.17076149	302.163485	6187	12407263.5	-1	-1	6
303.17704649	302.16977	8486	8010544	-1	-1	7
303.67228649	302.66501	8686	6551173	-1	-1	8
303.68495649	302.67768	10748	16719937	-1	-1	9
304.16223149	303.154955	5833	6938370	-1	-1	10
304.16393649	303.15666	8324	9511036	-1	-1	11
304.16419149	303.156915	11595	16103295.5	-1	-1	12
304.16442649	303.15715	6231	28453977.5	-1	-1	13
304.16570649	303.15843	7276	8179842	-1	-1	14
304.67463649	303.66736	8870	11565320	-1	-1	15
305.16561649	304.15834	6411	12473747	-1	-1	16
305.16925649	304.16198	7364	26964991	-1	-1	17
305.16662649	304.15935	11690	5447436	-1	-1	18
305.17203649	304.16476	6782	4169557	-1	-1	19
305.18472649	304.17745	8536	37458710	-1	-1	20
306.83208649	305.82481	9041	4161549	-1	-1	21
307.15890649	306.15163	8377	4042972	-1	-1	22
307.71643149	306.709155	13142	24109156.5	-1	-1	23
308.19574649	307.18847	6552	15451608	-1	-1	24
308.50336649	307.49609	4616	16677350	-1	-1	25
308.68802649	307.68075	7816	353392670.5	-1	-1	26
308.68792649	307.68065	5719	6913199	-1	-1	27
308.70578649	307.69851	7847	79898845	-1	-1	28
308.71098649	307.70371	6000	7744727	-1	-1	29
309.19373649	308.18646	7584	7895638	-1	-1	30
309.68491649	308.67764	13239	17360707	-1	-1	31
310.16570649	309.15843	7671	26105528	-1	-1	32
310.18349649	309.17622	7967	76125957	-1	-1	33
310.85127649	309.844	7198	70212605	-1	-1	34
311.18625649	310.17898	45438	85865097	-1	-1	35
312.17436649	311.16709	9033	23281235.5	-1	-1	36
312.17867649	311.1714	5351	13566295	-1	-1	37
