Source=C#
NET	BinCount
-0.020159	31
-0.019159	47
-0.018159	41
-0.017159	44
-0.016159	32
-0.015159	55
-0.014159	48
-0.013159	70
-0.012159	80
-0.011159	106
-0.010159	136
-0.0091591	201
-0.0081591	227
-0.0071591	315
-0.0061591	430
-0.0051591	619
-0.0041591	711
-0.0031591	945
-0.0021591	1019
-0.0011591	1099
-0.00015909	1106
0.00084091	1051
0.0018409	1038
0.0028409	953
0.0038409	846
0.0048409	743
0.0058409	579
0.0068409	486
0.0078409	336
0.0088409	253
0.0098409	167
0.010841	126
0.011841	118
0.012841	75
0.013841	72
0.014841	46
0.015841	43
0.016841	44
0.017841	39
0.018841	47
