Source=C#
Scan	Interpolated_NET	Aligned_NET
347	0.050425	
348	0.050441	
349	0.050458	
350	0.050475	
351	0.050491	
352	0.050508	
353	0.050524	
354	0.050541	
355	0.050558	
356	0.050574	
357	0.050591	
358	0.050608	
359	0.050624	
360	0.050641	
361	0.050658	
362	0.050674	
363	0.050691	
364	0.050707	
365	0.050724	
366	0.050741	
367	0.050757	
368	0.050774	
369	0.050791	
370	0.050807	
371	0.050824	
372	0.05084	
373	0.050857	
374	0.050874	
375	0.05089	
376	0.050907	
377	0.050924	
378	0.05094	
379	0.050957	
380	0.050974	
381	0.05099	
382	0.051007	
383	0.051023	
384	0.05104	
385	0.051057	
386	0.051073	
387	0.05109	
388	0.051107	
389	0.051123	
390	0.05114	
391	0.051157	
392	0.051173	
393	0.05119	
394	0.051206	
395	0.051223	
396	0.05124	
397	0.051256	
398	0.051273	
399	0.05129	
400	0.051306	
401	0.051323	
402	0.051339	
403	0.051356	
404	0.051373	
405	0.051389	
406	0.051406	
407	0.051423	
408	0.051439	
409	0.051456	
410	0.051473	
411	0.051489	
412	0.051506	
413	0.051522	
414	0.051539	
415	0.051556	
416	0.051572	
417	0.051589	
418	0.051606	
419	0.051622	
420	0.051639	
421	0.051655	
422	0.051672	
423	0.051689	
424	0.051705	
425	0.051722	
426	0.051739	
427	0.051755	
428	0.051772	
429	0.051789	
430	0.051805	
431	0.051822	
432	0.051838	
433	0.051855	
434	0.051872	
435	0.051888	
436	0.051905	
437	0.051922	
438	0.051938	
439	0.051955	
440	0.051972	
441	0.051988	
442	0.052005	
443	0.052021	
444	0.052038	
445	0.052055	
446	0.052071	
447	0.052088	
448	0.052105	
449	0.052121	
450	0.052138	
451	0.052154	
452	0.052171	
453	0.052188	
454	0.052204	
455	0.052221	
456	0.052238	
457	0.052254	
458	0.052271	
459	0.052288	
460	0.052304	
461	0.052321	
462	0.052337	
463	0.052354	
464	0.052371	
465	0.052387	
466	0.052404	
467	0.052421	
468	0.052437	
469	0.052454	
470	0.052471	
471	0.052487	
472	0.052504	
473	0.05252	
474	0.052537	
475	0.052554	
476	0.05257	
477	0.052587	
478	0.052604	
479	0.05262	
480	0.052637	
481	0.052653	
482	0.05267	
483	0.052687	
484	0.052703	
485	0.05272	
486	0.052737	
487	0.052753	
488	0.05277	
489	0.052787	
490	0.052803	
491	0.05282	
492	0.052836	
493	0.052853	
494	0.05287	
495	0.052886	
496	0.052903	
497	0.05292	
498	0.052936	
499	0.052953	
500	0.05297	
501	0.052986	
502	0.053003	
503	0.053019	
504	0.053036	
505	0.053053	
506	0.053069	
507	0.053086	
508	0.053103	
509	0.053119	
510	0.053136	
511	0.053152	
512	0.053169	
513	0.053186	
514	0.053202	
515	0.053219	
516	0.053236	
517	0.053252	
518	0.053269	
519	0.053286	
520	0.053302	
521	0.053319	
522	0.053335	
523	0.053352	
524	0.053369	
525	0.053385	
526	0.053402	
527	0.053419	
528	0.053435	
529	0.053452	
530	0.053468	
531	0.053485	
532	0.053502	
533	0.053518	
534	0.053535	
535	0.053552	
536	0.053568	
537	0.053585	
538	0.053602	
539	0.053618	
540	0.053635	
541	0.053651	
542	0.053668	
543	0.053685	
544	0.053701	
545	0.053718	
546	0.053735	
547	0.053751	
548	0.053768	
549	0.053785	
550	0.053801	
551	0.053818	
552	0.053834	
553	0.053851	
554	0.053868	
555	0.053884	
556	0.053901	
557	0.053918	
558	0.053934	
559	0.053951	
560	0.053967	
561	0.053984	
562	0.054001	
563	0.054017	
564	0.054034	
565	0.054051	
566	0.054067	
567	0.054084	
568	0.054101	
569	0.054117	
570	0.054134	
571	0.05415	
572	0.054167	
573	0.054184	
574	0.0542	
575	0.054217	
576	0.054234	
577	0.05425	
578	0.054267	
579	0.054284	
580	0.0543	
581	0.054317	
582	0.054333	
583	0.05435	
584	0.054367	
585	0.054383	
586	0.0544	
587	0.054417	
588	0.054433	
589	0.05445	
590	0.054466	
591	0.054483	
592	0.0545	
593	0.054516	
594	0.054533	
595	0.05455	
596	0.054566	
597	0.054583	
598	0.0546	
599	0.054616	
600	0.054633	
601	0.054649	
602	0.054666	
603	0.054683	
604	0.054699	
605	0.054716	
606	0.054733	
607	0.054749	
608	0.054766	
609	0.054783	
610	0.054799	
611	0.054816	
612	0.054832	
613	0.054849	
614	0.054866	
615	0.054882	
616	0.054899	
617	0.054916	
618	0.054932	
619	0.054949	
620	0.054965	
621	0.054982	
622	0.054999	
623	0.055015	
624	0.055032	
625	0.055049	
626	0.055065	
627	0.055082	
628	0.055099	
629	0.055115	
630	0.055132	
631	0.055148	
632	0.055165	
633	0.055182	
634	0.055198	
635	0.055215	
636	0.055232	
637	0.055248	
638	0.055265	
639	0.055281	
640	0.055298	
641	0.055315	
642	0.055331	
643	0.055348	
644	0.055365	
645	0.055381	
646	0.055398	
647	0.055415	
648	0.055431	
649	0.055448	
650	0.055464	
651	0.055481	
652	0.055498	
653	0.055514	
654	0.055531	
655	0.055548	
656	0.055564	
657	0.055581	
658	0.055598	
659	0.055614	
660	0.055631	
661	0.055647	
662	0.055664	
663	0.055681	
664	0.055697	
665	0.055714	
666	0.055731	
667	0.055747	
668	0.055764	
669	0.05578	
670	0.055797	
671	0.055814	
672	0.05583	
673	0.055847	
674	0.055864	
675	0.05588	
676	0.055897	
677	0.055914	
678	0.05593	
679	0.055947	
680	0.055963	
681	0.05598	
682	0.055997	
683	0.056013	
684	0.05603	
685	0.056047	
686	0.056063	
687	0.05608	
688	0.056097	
689	0.056113	
690	0.05613	
691	0.056146	
692	0.056163	
693	0.05618	
694	0.056196	
695	0.056213	
696	0.05623	
697	0.056246	
698	0.056263	
699	0.056279	
700	0.056296	
701	0.056313	
702	0.056329	
703	0.056346	
704	0.056363	
705	0.056379	
706	0.056396	
707	0.056413	
708	0.056429	
709	0.056446	
710	0.056462	
711	0.056479	
712	0.056496	
713	0.056512	
714	0.056529	
715	0.056546	
716	0.056562	
717	0.056579	
718	0.056596	
719	0.056612	
720	0.056629	
721	0.056645	
722	0.056662	
723	0.056679	
724	0.056695	
725	0.056712	
726	0.056729	
727	0.056745	
728	0.056762	
729	0.056778	
730	0.056795	
731	0.056812	
732	0.056828	
733	0.056845	
734	0.056862	
735	0.056878	
736	0.056895	
737	0.056912	
738	0.056928	
739	0.056945	
740	0.056961	
741	0.056978	
742	0.056995	
743	0.057011	
744	0.057028	
745	0.057045	
746	0.057061	
747	0.057078	
748	0.057094	
749	0.057111	
750	0.057128	
751	0.057144	
752	0.057161	
753	0.057178	
754	0.057194	
755	0.057211	
756	0.057228	
757	0.057244	
758	0.057261	
759	0.057277	
760	0.057294	
761	0.057311	
762	0.057327	
763	0.057344	
764	0.057361	
765	0.057377	
766	0.057394	
767	0.057411	
768	0.057427	
769	0.057444	
770	0.05746	
771	0.057477	
772	0.057494	
773	0.05751	
774	0.057527	
775	0.057544	
776	0.05756	
777	0.057577	
778	0.057593	
779	0.05761	
780	0.057627	
781	0.057643	
782	0.05766	
783	0.057677	
784	0.057693	
785	0.05771	
786	0.057727	
787	0.057743	
788	0.05776	
789	0.057776	
790	0.057793	
791	0.05781	
792	0.057826	
793	0.057843	
794	0.05786	
795	0.057876	
796	0.057893	
797	0.05791	
798	0.057926	
799	0.057943	
800	0.057959	
801	0.057976	
802	0.057993	
803	0.058009	
804	0.058026	
805	0.058043	
806	0.058059	
807	0.058076	
808	0.058092	
809	0.058109	
810	0.058126	
811	0.058142	
812	0.058159	
813	0.058176	
814	0.058192	
815	0.058209	
816	0.058226	
817	0.058242	
818	0.058259	
819	0.058275	
820	0.058292	
821	0.058309	
822	0.058325	
823	0.058342	
824	0.058359	
825	0.058375	
826	0.058392	
827	0.058409	
828	0.058425	
829	0.058442	
830	0.058458	
831	0.058475	
832	0.058492	
833	0.058508	
834	0.058525	
835	0.058542	
836	0.058558	
837	0.058575	
838	0.058591	
839	0.058608	
840	0.058625	
841	0.058641	
842	0.058658	
843	0.058675	
844	0.058691	
845	0.058708	
846	0.058725	
847	0.058741	
848	0.058758	
849	0.058774	
850	0.058791	
851	0.058808	
852	0.058824	
853	0.058841	
854	0.058858	
855	0.058874	
856	0.058891	
857	0.058907	
858	0.058924	
859	0.058941	
860	0.058957	
861	0.058974	
862	0.058991	
863	0.059007	
864	0.059024	
865	0.059041	
866	0.059057	
867	0.059074	
868	0.05909	
869	0.059107	
870	0.059124	
871	0.05914	
872	0.059157	
873	0.059174	
874	0.05919	
875	0.059207	
876	0.059224	
877	0.05924	
878	0.059257	
879	0.059273	
880	0.05929	
881	0.059307	
882	0.059323	
883	0.05934	
884	0.059357	
885	0.059373	
886	0.05939	
887	0.059406	
888	0.059423	
889	0.05944	
890	0.059456	
891	0.059473	
892	0.05949	
893	0.059506	
894	0.059523	
895	0.05954	
896	0.059556	
897	0.059573	
898	0.059589	
899	0.059606	
900	0.059623	
901	0.059639	
902	0.059656	
903	0.059673	
904	0.059689	
905	0.059706	
906	0.059723	
907	0.059739	
908	0.059756	
909	0.059772	
910	0.059789	
911	0.059806	
912	0.059822	
913	0.059839	
914	0.059856	
915	0.059872	
916	0.059889	
917	0.059905	
918	0.059922	
919	0.059939	
920	0.059955	
921	0.059972	
922	0.059989	
923	0.060005	
924	0.060022	
925	0.060039	
926	0.060055	
927	0.060072	
928	0.060088	
929	0.060105	
930	0.060122	
931	0.060138	
932	0.060155	
933	0.060172	
934	0.060188	
935	0.060205	
936	0.060221	
937	0.060238	
938	0.060255	
939	0.060271	
940	0.060288	
941	0.060305	
942	0.060321	
943	0.060338	
944	0.060355	
945	0.060371	
946	0.060388	
947	0.060404	
948	0.060421	
949	0.060438	
950	0.060454	
951	0.060471	
952	0.060488	
953	0.060504	
954	0.060521	
955	0.060538	
956	0.060554	
957	0.060571	
958	0.060587	
959	0.060604	
960	0.060621	
961	0.060637	
962	0.060654	
963	0.060671	
964	0.060687	
965	0.060704	
966	0.06072	
967	0.060737	
968	0.060754	
969	0.06077	
970	0.060787	
971	0.060804	
972	0.06082	
973	0.060837	
974	0.060854	
975	0.06087	
976	0.060887	
977	0.060903	
978	0.06092	
979	0.060937	
980	0.060953	
981	0.06097	
982	0.060987	
983	0.061003	
984	0.06102	
985	0.061037	
986	0.061053	
987	0.06107	
988	0.061086	
989	0.061103	
990	0.06112	
991	0.061136	
992	0.061153	
993	0.06117	
994	0.061186	
995	0.061203	
996	0.061219	
997	0.061236	
998	0.061253	
999	0.061269	
1000	0.061286	
1001	0.061303	
1002	0.061319	
1003	0.061336	
1004	0.061353	
1005	0.061369	
1006	0.061386	
1007	0.061402	
1008	0.061419	
1009	0.061436	
1010	0.061452	
1011	0.061469	
1012	0.061486	
1013	0.061502	
1014	0.061519	
1015	0.061536	
1016	0.061552	
1017	0.061569	
1018	0.061585	
1019	0.061602	
1020	0.061619	
1021	0.061635	
1022	0.061652	
1023	0.061669	
1024	0.061685	
1025	0.061702	
1026	0.061718	
1027	0.061735	
1028	0.061752	
1029	0.061768	
1030	0.061785	
1031	0.061802	
1032	0.061818	
1033	0.061835	
1034	0.061852	
1035	0.061868	
1036	0.061885	
1037	0.061901	
1038	0.061918	
1039	0.061935	
1040	0.061951	
1041	0.061968	
1042	0.061985	
1043	0.062001	
1044	0.062018	
1045	0.062034	
1046	0.062051	
1047	0.062068	
1048	0.062084	
1049	0.062101	
1050	0.062118	
1051	0.062134	
1052	0.062151	
1053	0.062168	
1054	0.062184	
1055	0.062201	
1056	0.062217	
1057	0.062234	
1058	0.062251	
1059	0.062267	
1060	0.062284	
1061	0.062301	
1062	0.062317	
1063	0.062334	
1064	0.062351	
1065	0.062367	
1066	0.062384	
1067	0.0624	
1068	0.062417	
1069	0.062434	
1070	0.06245	
1071	0.062467	
1072	0.062484	
1073	0.0625	
1074	0.062517	
1075	0.062533	
1076	0.06255	
1077	0.062567	
1078	0.062583	
1079	0.0626	
1080	0.062617	
1081	0.062633	
1082	0.06265	
1083	0.062667	
1084	0.062683	
1085	0.0627	
1086	0.062716	
1087	0.062733	
1088	0.06275	
1089	0.062766	
1090	0.062783	
1091	0.0628	
1092	0.062816	
1093	0.062833	
1094	0.06285	
1095	0.062866	
1096	0.062883	
1097	0.062899	
1098	0.062916	
1099	0.062933	
1100	0.062949	
1101	0.062966	
1102	0.062983	
1103	0.062999	
1104	0.063016	
1105	0.063032	
1106	0.063049	
1107	0.063066	
1108	0.063082	
1109	0.063099	
1110	0.063116	
1111	0.063132	
1112	0.063149	
1113	0.063166	
1114	0.063182	
1115	0.063199	
1116	0.063215	
1117	0.063232	
1118	0.063249	
1119	0.063265	
1120	0.063282	
1121	0.063299	
1122	0.063315	
1123	0.063332	
1124	0.063349	
1125	0.063365	
1126	0.063382	
1127	0.063398	
1128	0.063415	
1129	0.063432	
1130	0.063448	
1131	0.063465	
1132	0.063482	
1133	0.063498	
1134	0.063515	
1135	0.063531	
1136	0.063548	
1137	0.063565	
1138	0.063581	
1139	0.063598	
1140	0.063615	
1141	0.063631	
1142	0.063648	
1143	0.063665	
1144	0.063681	
1145	0.063698	
1146	0.063714	
1147	0.063731	
1148	0.063748	
1149	0.063764	
1150	0.063781	
1151	0.063798	
1152	0.063814	
1153	0.063831	
1154	0.063847	
1155	0.063864	
1156	0.063881	
1157	0.063897	
1158	0.063914	
1159	0.063931	
1160	0.063947	
1161	0.063964	
1162	0.063981	
1163	0.063997	
1164	0.064014	
1165	0.06403	
1166	0.064047	
1167	0.064064	
1168	0.06408	
1169	0.064097	
1170	0.064114	
1171	0.06413	
1172	0.064147	
1173	0.064164	
1174	0.06418	
1175	0.064197	
1176	0.064213	
1177	0.06423	
1178	0.064247	
1179	0.064263	
1180	0.06428	
1181	0.064297	
1182	0.064313	
1183	0.06433	
1184	0.064346	
1185	0.064363	
1186	0.06438	
1187	0.064396	
1188	0.064413	
1189	0.06443	
1190	0.064446	
1191	0.064463	
1192	0.06448	
1193	0.064496	
1194	0.064513	
1195	0.064529	
1196	0.064546	
1197	0.064563	
1198	0.064579	
1199	0.064596	
1200	0.064613	
1201	0.064629	
1202	0.064646	
1203	0.064663	
1204	0.064679	
1205	0.064696	
1206	0.064712	
1207	0.064729	
1208	0.064746	
1209	0.064762	
1210	0.064779	
1211	0.064796	
1212	0.064812	
1213	0.064829	
1214	0.064845	
1215	0.064862	
1216	0.064879	
1217	0.064895	
1218	0.064912	
1219	0.064929	
1220	0.064945	
1221	0.064962	
1222	0.064979	
1223	0.064995	
1224	0.065012	
1225	0.065028	
1226	0.065045	
1227	0.065062	
1228	0.065078	
1229	0.065095	
1230	0.065112	
1231	0.065128	
1232	0.065145	
1233	0.065162	
1234	0.065178	
1235	0.065195	
1236	0.065211	
1237	0.065228	
1238	0.065245	
1239	0.065261	
1240	0.065278	
1241	0.065295	
1242	0.065311	
1243	0.065328	
1244	0.065344	
1245	0.065361	
1246	0.065378	
1247	0.065394	
1248	0.065411	
