Source=C#
Mass	BinCount
-9.997	27
-9.797	17
-9.597	23
-9.397	23
-9.197	27
-8.997	19
-8.797	25
-8.597	17
-8.397	13
-8.197	21
-7.997	26
-7.797	22
-7.597	15
-7.397	19
-7.197	25
-6.997	25
-6.797	19
-6.597	20
-6.397	17
-6.197	19
-5.997	25
-5.797	26
-5.597	26
-5.397	19
-5.197	32
-4.997	32
-4.797	32
-4.597	38
-4.397	24
-4.197	28
-3.997	31
-3.797	30
-3.597	40
-3.397	37
-3.197	45
-2.997	44
-2.797	55
-2.597	47
-2.397	52
-2.197	60
-1.997	64
-1.797	71
-1.597	85
-1.397	95
-1.197	109
-0.9965	121
-0.7965	163
-0.5965	176
-0.3965	237
-0.1965	286
0.003483	329
0.2035	430
0.4035	428
0.6035	497
0.8035	586
1.003	612
1.203	658
1.403	704
1.603	719
1.803	790
2.003	776
2.203	761
2.403	756
2.603	702
2.803	607
3.003	495
3.203	337
3.403	243
3.603	183
3.803	121
4.003	118
4.203	90
4.403	80
4.603	59
4.803	66
5.003	50
5.203	51
5.403	52
5.603	46
5.803	36
6.003	29
6.203	40
6.403	32
6.603	34
6.803	25
7.003	34
7.203	22
7.403	16
7.603	24
7.803	20
8.003	35
8.203	20
8.403	18
8.603	26
8.803	27
9.003	15
9.203	15
9.403	23
9.603	38
